filename,labels
image1.png,"cellular Automata"
image2.png,"Perlin noise"
image3.png,"Perlin noise"
image6.png,"reaction diffusion"
image11.png,"Perlin noise"
image12.png,"reaction diffusion"
image13.png,"reaction diffusion"
image30.png,"cellular Automata"
image14.png,"voronoi diagram"
image15.png,"voronoi diagram"
image16.png,"voronoi diagram"
image17.png,"cellular Automata"
image18.png,"mandelbrot"
image19.png,"mandelbrot"
image20.png,"mandelbrot"
image21.png,"L-Systems"
image22.png,"L-Systems"
image23.png,"L-Systems"
image24.png,"Random walk"
image25.png,"Random walk"
image26.png,"Random walk"
image27.png,"particle system"
image28.png,"particle system"
image29.png,"particle system"
